faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Loktanella;Loktanella agnita;;Loktanella agnita ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63461-0
Loktanella;Loktanella cinnabarina;;Loktanella cinnabarina ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.043174-0
Loktanella;Loktanella fryxellensis;;Loktanella fryxellensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.03006-0
Loktanella;Loktanella hongkongensis;;Loktanella hongkongensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63294-0
Loktanella;Loktanella koreensis;;Loktanella koreensis ;nitrate_reduction ;DOI:10.1099/ijs.0.64276-0
Loktanella;Loktanella pyoseonensis;;Loktanella pyoseonensis ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.011072-0| DOI:10.1099/ijs.0.011072-0
Loktanella;Loktanella rosea;;Loktanella rosea ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63461-0
Loktanella;Loktanella salsilacus;;Loktanella salsilacus ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.03006-0
Loktanella;Loktanella sediminilitoris;;Loktanella sediminilitoris ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.049841-0
Loktanella;Loktanella soesokkakensis;;Loktanella soesokkakensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1007/s10482-013-9962-9
Loktanella;Loktanella tamlensis;;Loktanella tamlensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.029462-0
Loktanella;Loktanella vestfoldensis;;Loktanella vestfoldensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.03006-0
Lonepinella;Lonepinella koalarum;;Lonepinella koalarum ;fermentation|animal_parasites_or_symbionts|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Longimonas;Longimonas halophila;;Longimonas halophila ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.000247| DOI:10.1099/ijs.0.000247
Longispora;Longispora albida;;Longispora albida ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lonsdalea;Lonsdalea quercina;;Lonsdalea quercina ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4488
Luedemannella;Luedemannella flava;;Luedemannella flava ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.2323/jgam.53.39
Luedemannella;Luedemannella helvata;;Luedemannella helvata ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.2323/jgam.53.39
Luteipulveratus;Luteipulveratus mongoliensis;;Luteipulveratus mongoliensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.009936-0
Luteococcus;Luteococcus japonicus;;Luteococcus japonicus ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Luteococcus;Luteococcus peritonei;;Luteococcus peritonei ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Luteococcus;Luteococcus sanguinis;;Luteococcus sanguinis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lutibaculum;Lutibaculum baratangense;;Lutibaculum baratangense ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.036350-0| DOI:10.1099/ijs.0.036350-0
Lysinibacillus;Lysinibacillus sphaericus;;Lysinibacillus sphaericus ;invertebrate_parasites ;DOI:10.1016/j.jip.2011.11.008
Lysinibacillus;Lysinibacillus sphaeriscus;;Lysinibacillus sphaeriscus ;invertebrate_parasites ;DOI:10.3390/insects5010139
Lysinibacillus;Lysinibacillus xylanilyticus;;Lysinibacillus xylanilyticus ;xylanolysis|chemoheterotrophy;DOI:10.1099/ijs.0.013367-0
Lysobacter;Lysobacter gummosus;;Lysobacter gummosus ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Macromonas;Macromonas bipunctata;;Macromonas bipunctata ;ureolysis;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Magnetospirillum;Magnetospirillum aberrantis;;Magnetospirillum aberrantis ;aerobic_chemoheterotrophy|nitrate_respiration|nitrate_reduction |nitrogen_respiration|chemoheterotrophy;Gorlenko et al (2011) - Magnetospirillum aberrantis sp. nov. a New Freshwater Bacterium with Magnetic Inclusions| Gorlenko et al (2011) - Magnetospirillum aberrantis sp. nov. a New Freshwater Bacterium with Magnetic Inclusions
Magnetospirillum;Magnetospirillum gryphiswaldense;;Magnetospirillum gryphiswaldense ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Magnetospirillum;Magnetospirillum magnetotacticum;;Magnetospirillum magnetotacticum ;nitrate_denitrification|nitrogen_fixation|nitrate_respiration|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1196/annals.1419.010  and  Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Mameliella;Mameliella alba;;Mameliella alba ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.011437-0
Mangrovibacterium;Mangrovibacterium diazotrophicum;;Mangrovibacterium diazotrophicum ;nitrogen_fixation|cellulolysis|fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.052779-0| DOI:10.1099/ijs.0.052779-0| DOI:10.1099/ijs.0.052779-0| DOI:10.1099/ijs.0.052779-0
Maribacter;Maribacter aquivivus;;Maribacter aquivivus ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Maribacter;Maribacter sedimenticola;;Maribacter sedimenticola ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Maricaulis;Maricaulis maris;;Maricaulis maris ;aerobic_chemoheterotrophy|chemoheterotrophy;Abraham et al (1999) - Phylogeny and polyphasic taxonomy of Caulobacter species. Proposal of Maricaulis gen. nov. with Maricaulis maris (Poindexter) comb. nov. as the type species and emended description of the genera Brevundirnonas and Caulobacter
Maricaulis;Maricaulis parjimensis;;Maricaulis parjimensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02248-0  and  Abraham et al (1999) - Phylogeny and polyphasic taxonomy of Caulobacter species. Proposal of Maricaulis gen. nov. with Maricaulis maris (Poindexter) comb. nov. as the type species and emended description of the genera Brevundirnonas and Caulobacter
Maricaulis;Maricaulis salignorans;;Maricaulis salignorans ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02248-0  and  Abraham et al (1999) - Phylogeny and polyphasic taxonomy of Caulobacter species. Proposal of Maricaulis gen. nov. with Maricaulis maris (Poindexter) comb. nov. as the type species and emended description of the genera Brevundirnonas and Caulobacter
Maricaulis;Maricaulis virginensis;;Maricaulis virginensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02248-0  and  Abraham et al (1999) - Phylogeny and polyphasic taxonomy of Caulobacter species. Proposal of Maricaulis gen. nov. with Maricaulis maris (Poindexter) comb. nov. as the type species and emended description of the genera Brevundirnonas and Caulobacter
Maricaulis;Maricaulis washingtonensis;;Maricaulis washingtonensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02248-0  and  Abraham et al (1999) - Phylogeny and polyphasic taxonomy of Caulobacter species. Proposal of Maricaulis gen. nov. with Maricaulis maris (Poindexter) comb. nov. as the type species and emended description of the genera Brevundirnonas and Caulobacter
Marichromatium;Marichromatium gracile;;Marichromatium gracile ;nitrogen_fixation|anoxygenic_photoautotrophy_H2_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI: 10.1016/S0065-2911(08)00002-7
Marihabitans;Marihabitans asiaticum;;Marihabitans asiaticum ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.65210-0| DOI:10.1099/ijs.0.65210-0
Marinilactibacillus;Marinilactibacillus piezotolerans;;Marinilactibacillus piezotolerans ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63236-0| DOI:10.1099/ijs.0.63236-0
Marinilactibacillus;Marinilactibacillus psychrotolerans;;Marinilactibacillus psychrotolerans ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Marinimicrobium;Marinimicrobium haloxylanilyticum;;Marinimicrobium haloxylanilyticum ;xylanolysis|chemoheterotrophy;DOI:10.1007/s10482-010-9472-y
Mariniphaga;Mariniphaga anaerophila;;Mariniphaga anaerophila ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.066274-0| DOI:10.1099/ijs.0.066274-0
Marinitoga;Marinitoga okinawensis;;Marinitoga okinawensis ;sulfur_respiration|respiration_of_sulfur_compounds;DOI:10.1099/ijs.0.64640-0
Marinobacter;Marinobacter aquaeolei;;Marinobacter aquaeolei ;nitrate_denitrification|oil_bioremediation|oil_bioremediation|dark_iron_oxidation|nitrate_respiration|ureolysis|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1099/00207713-49-2-367| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1146/annurev.micro.112408.134208| DOI:10.1099/00207713-49-2-367|# DOI:10.1099/00207713-49-2-367
Marinobacter;Marinobacter hydrocarbonoclasticus;;Marinobacter hydrocarbonoclasticus ;nitrate_denitrification|oil_bioremediation|aromatic_hydrocarbon_degradation|aliphatic_non_methane_hydrocarbon_degradation|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|aromatic_compound_degradation|hydrocarbon_degradation|hydrocarbon_degradation|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2  and  Gauthier et al. (1992) - Marinobacter hydrocarbonoclasticus gen. nov. sp. nov. a new extremely halotolerant hydrocarbon-degrading marine bacterium| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Gauthier et al. (1992) - Marinobacter hydrocarbonoclasticus gen. nov. sp. nov. a new extremely halotolerant hydrocarbon-degrading marine bacterium| Gauthier et al. (1992) - Marinobacter hydrocarbonoclasticus gen. nov. sp. nov. a new extremely halotolerant hydrocarbon-degrading marine bacterium
Marinobacter;Marinobacter lipolyticus;;Marinobacter lipolyticus ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02528-0
Marinobacter;Marinobacter lutaoensis;;Marinobacter lutaoensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1139/w03-032
Marinobacter;Marinobacter maritimus;;Marinobacter maritimus ;denitrification|oil_bioremediation|nitrogen_respiration|chemoheterotrophy;DOI:10.1099/ijs.0.63478-0| DOI:10.1099/ijs.0.63478-0
Marinobacter;Marinobacter nanhaiticus;;Marinobacter nanhaiticus ;aromatic_hydrocarbon_degradation|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1007/s10482-012-9830-z
Marinobacter;Marinobacter santoriniensis;;Marinobacter santoriniensis ;arsenate_respiration|fermentation|dark_iron_oxidation|nitrate_respiration|dissimilatory_arsenate_reduction|nitrate_reduction |nitrogen_respiration|chemoheterotrophy;DOI:10.1099/ijs.0.003145-0  and  DOI:10.1111/j.1462-2920.2009.01890.x| DOI:10.1099/ijs.0.003145-0| DOI:10.1099/ijs.0.003145-0| DOI:10.1099/ijs.0.003145-0
Marinobacterium;Marinobacterium georgiense;;Marinobacterium georgiense ;methanol_oxidation|aromatic_compound_degradation|methylotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/00207713-47-2-369| DOI:10.1099/00207713-47-2-369
Marinobacterium;Marinobacterium litorale;;Marinobacterium litorale ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64892-0
Marinobacterium;Marinobacterium mangrovicola;;Marinobacterium mangrovicola ;nitrogen_fixation|nitrate_reduction |ureolysis;DOI:10.1099/ijs.0.067462-0| DOI:10.1099/ijs.0.067462-0| DOI:10.1099/ijs.0.067462-0
Marinococcus;Marinococcus albus;;Marinococcus albus ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Marinomonas;Marinomonas mediterranea;;Marinomonas mediterranea ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Marinospirillum;Marinospirillum aquaeoli;;Marinospirillum aquaeoli ;oil_bioremediation|chemoheterotrophy;Munn (2011) - Marine Microbiology chapter 4
Marinospirillum;Marinospirillum hydrocarbanoclasticus;;Marinospirillum hydrocarbanoclasticus ;oil_bioremediation|chemoheterotrophy;Munn (2011) - Marine Microbiology chapter 4
Marinospirillum;Marinospirillum minutulum;;Marinospirillum minutulum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2B
Marinovum;Marinovum algicola;;Marinovum algicola ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/00207713-45-2-290  and  DOI:10.1099/ijs.0.63724-0
Mariprofundus;Mariprofundus ferrooxydans;;Mariprofundus ferrooxydans ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208  and  DOI:10.1099/mic.0.045344-0
Maritimibacter;Maritimibacter alkaliphilus;;Maritimibacter alkaliphilus ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Marivita;Marivita geojedonensis;;Marivita geojedonensis ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.039065-0| DOI:10.1099/ijs.0.039065-0
Marixanthomonas;Marixanthomonas ophiurae;;Marixanthomonas ophiurae ;aerobic_chemoheterotrophy|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64662-0| DOI:10.1099/ijs.0.64662-0
Martelella;Martelella mangrovi;;Martelella mangrovi ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.066373-0
Martelella;Martelella mediterranea;;Martelella mediterranea ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63438-0
Martelella;Martelella radicis;;Martelella radicis ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.066373-0| DOI:10.1099/ijs.0.066373-0
Marvinbryantia;Marvinbryantia formatexigens;;Marvinbryantia formatexigens ;reductive_acetogenesis;10.1002/9780470015902.a0020086.pub2
Megasphaera;Megasphaera elsdenii;;Megasphaera elsdenii ;fermentation|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Marounek et al. (1989) - Metabolism and some characteristics of ruminal strains of Megasphaera elsdenii
Meiothermus;Meiothermus cerbereus;;Meiothermus cerbereus ;dark_thiosulfate_oxidation|dark_oxidation_of_sulfur_compounds;Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
Meiothermus;Meiothermus chliarophilus;;Meiothermus chliarophilus ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
Meiothermus;Meiothermus granaticius;;Meiothermus granaticius ;fumarate_respiration;Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Other major lineages of Bacteria and the Archaea
Meiothermus;Meiothermus ruber;;Meiothermus ruber ;dark_thiosulfate_oxidation|dark_oxidation_of_sulfur_compounds;Garrity Brenner Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology vol. 1
Meiothermus;Meiothermus rufus;;Meiothermus rufus ;xylanolysis|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1016/j.syapm.2009.05.002| DOI:10.1016/j.syapm.2009.05.002
